================================================================================
AAGENTO BRIDGE PLATFORM — MASTER GLOSSARY OF VARIABLES
All Bridge Types: Railway RCC Box, Highway RCC Box, Hume Pipe, PSC Slab,
                  Composite Girder, OWG, and Parametric Template Engine
================================================================================

This glossary defines every variable and parameter used across all formula
documents. Variables are listed alphabetically by symbol.


SYMBOL     FULL NAME                           UNIT    TYPE    USED IN
tOW        Outer Wall Thickness (t_wall_o)    m       I       RCC Box (both)
tSB        Bottom Slab Thickness (t_slab_b)   m       I       RCC Box (both)
tST        Top Slab Thickness (t_slab_t)      m       I       RCC Box (both)
toeWallAboveGL   Toe Wall Above GL            mm      I       Hume Pipe
toeWallBeddingProj  Toe Wall Bedding Proj.    mm      I       Hume Pipe
toeWallBeddingThk   Toe Wall Bedding Thk.     mm      I       Hume Pipe
toeWallProjection   Toe Wall Projection       mm      I       Hume Pipe
toeWallStemBotW     Toe Wall Bottom Width     mm      I       Hume Pipe
toeWallStemH        Toe Wall Stem Height      mm      I       Hume Pipe
toeWallStemTopW     Toe Wall Top Width        mm      I       Hume Pipe
toeWallUpperFootingThk  Toe Wall Upper Footing mm     I       Hume Pipe
total_h    External Box/Structure Height      m       C       RCC Box (both)
total_w    External Box/Structure Width       m       C       RCC Box (both) / Hume Pipe
totalGranPx  Total Granular Layer Height (px) px      C       RCC Box (canvas)
totalHeight  Total Structural Height          m       C       Hume Pipe
totalLength  Total Bridge Length              m       C       PSC Slab / Composite / OWG
trackGauge  Railway Track Gauge               m       I/S=1.676  OWG / PSC Slab
wallThickness  Hume Pipe Wall Thickness       mm      I       Hume Pipe
wearC      Wearing Course Thickness           m       I       RCC Box Railway
wearingCourseThk  Wearing Course Thickness    mm      I       Hume Pipe
wingL      Wing Wall Length                   m       I       RCC Box (both)
wcT        Wearing Coat Thickness (PSC)       m       I/RDSO  PSC Slab
wx         World-to-Canvas X function         -       func    RCC Box (canvas)
wy         World-to-Canvas Y function         -       func    RCC Box (canvas)
wm         World-Metric-to-Pixel function     -       func    RCC Box (canvas)
xCut       Slope Intersection X (pixels)      px      C       RCC Box Railway
xHitBBot   Slope Hits Box Bottom X (pixels)   px      C       RCC Box Railway
yGranBot   Granular Fill Bottom Y (pixels)    px      C       RCC Box (canvas)
yGranTop   Granular Fill Top Y (pixels)       px      C       RCC Box (canvas)
yHitBldLeft  Boulder Inner Face Intersection Y px     C       RCC Box Railway
yPccBot    PCC Bottom Y (pixels)              px      C       RCC Box (canvas)
yPccTop    PCC Top Y (pixels)                 px      C       RCC Box (canvas)
yWearTop   Wearing Course Top Y (pixels)      px      C       RCC Box Railway
z_base     Bed Level (Composite Girder)       m       I       Composite Girder
z_bear     Top of Bearing Level               m       C       Composite Girder
z_bearing_b  Bottom of Bearing Level          m       C       PSC Slab
z_bearing_t  Top of Bearing Level             m       C       PSC Slab
z_bot      Bottom of Box Level                m       C       RCC Box (both)
z_cap_b    Bottom of Pier Cap                 m       C       PSC Slab / Composite Girder
z_cap_t    Top of Pier Cap                    m       C       PSC Slab
z_deck_b   Bottom of Deck Slab                m       C       Composite Girder
z_footing_b  Foundation Bottom                m       C       PSC Slab
z_footing_t  Foundation Top                   m       C       PSC Slab
z_gird_b   Bottom of Girder                   m       C       Composite Girder
z_soil     Soil Level (Natural Ground Level)  m       I       PSC Slab
z_slab_b   Bottom of PSC Slab                 m       C       PSC Slab
z_slab_t   Top of PSC Slab                    m       C       PSC Slab
z_top      Top of Box / Top Deck Level        m       C       RCC Box (both) / Composite Girder
zCamber    OWG Parabolic Camber Ordinate       m       C       OWG


TYPE LEGEND
-----------
I    = Input (user-editable design variable)
C    = Computed (derived by formula)
S    = Static / Engineering constant
A    = API-fetched (from RDSO standard lookup)
RDSO = Looked up from RDSO standard design table by span length
func = Helper coordinate transform function

================================================================================
END OF MASTER GLOSSARY
================================================================================
